time,Actual Movement,Predictions,Predicted
2020-07-02,1,0.7299065,1
2020-07-03,-1,0.49416587,-1
2020-07-06,1,0.9257161,1
2020-07-07,1,0.9278354,1
2020-07-08,1,0.96290225,1
2020-07-09,-1,0.5431745,-1
2020-07-10,-1,0.61154044,1
2020-07-13,1,0.90463793,1
2020-07-14,1,0.94061,1
2020-07-15,1,0.8993206,1
2020-07-16,-1,0.031059498,-1
2020-07-17,1,0.8543793,1
2020-07-20,1,0.8023287,1
2020-07-21,1,0.96391606,1
2020-07-22,1,0.9749229,1
2020-07-23,1,0.9603462,1
2020-07-24,1,0.97738314,1
2020-07-27,1,0.992823,1
2020-07-28,1,0.972614,1
2020-07-29,1,0.9841213,1
2020-07-30,-1,0.68534255,1
2020-07-31,1,0.9740027,1
2020-08-03,1,0.8874287,1
2020-08-04,1,0.9880299,1
2020-08-05,1,0.9557769,1
2020-08-06,1,0.97818244,1
2020-08-07,-1,0.017410576,-1
2020-08-10,-1,0.36567527,-1
2020-08-11,-1,0.000558576,-1
2020-08-12,1,0.68895257,1
2020-08-13,1,0.94693035,1
2020-08-14,-1,0.041358374,-1
2020-08-17,1,0.9807553,1
2020-08-18,1,0.78035223,1
2020-08-19,-1,0.0050757583,-1
2020-08-20,1,0.97320074,1
2020-08-21,-1,0.17113712,-1
2020-08-24,-1,0.3672721,-1
2020-08-25,1,0.69091266,1
2020-08-26,1,0.9767626,1
2020-08-27,-1,0.06901928,-1
2020-08-28,1,0.98804176,1
2020-08-31,1,0.6101688,1
2020-09-01,1,0.84250647,1
2020-09-02,-1,0.067039005,-1
2020-09-03,-1,0.35308367,-1
2020-09-04,1,0.86924416,1
2020-09-07,-1,0.5867598,1
2020-09-08,1,0.88946795,1
2020-09-09,1,0.96987,1
2020-09-10,-1,0.8666216,1
2020-09-11,-1,0.75299245,1
2020-09-14,1,0.9734666,1
2020-09-15,-1,0.8497817,1
2020-09-16,1,0.9487631,1
2020-09-17,-1,0.17760561,-1
2020-09-18,1,0.8979556,1
2020-09-21,-1,0.01818768,-1
2020-09-22,-1,0.13342926,-1
2020-09-23,-1,0.025310595,-1
2020-09-24,1,0.7637565,1
2020-09-25,-1,0.14304325,-1
2020-09-28,1,0.9661755,1
2020-09-29,1,0.96171045,1
2020-09-30,-1,0.5343573,-1
2020-10-01,1,0.979871,1
2020-10-02,-1,0.8245779,1
2020-10-05,1,0.9739237,1
2020-10-06,-1,0.060159292,-1
2020-10-07,1,0.9490771,1
2020-10-08,1,0.91615695,1
2020-10-09,1,0.98380893,1
2020-10-12,-1,0.24683928,-1
2020-10-13,-1,0.03505156,-1
2020-10-14,1,0.73682916,1
2020-10-15,1,0.6792674,1
2020-10-16,-1,0.15811172,-1
2020-10-19,1,0.8060682,1
2020-10-20,1,0.84260803,1
2020-10-21,1,0.9527119,1
2020-10-22,-1,0.06496745,-1
2020-10-23,-1,0.4209775,-1
2020-10-26,-1,0.49408343,-1
2020-10-27,1,0.85480577,1
2020-10-28,-1,0.034476455,-1
2020-10-29,-1,0.28798282,-1
2020-10-30,1,0.9357354,1
2020-11-02,1,0.967629,1
2020-11-03,1,0.95733875,1
2020-11-04,-1,0.66871697,1
2020-11-05,1,0.9911061,1
2020-11-06,1,0.82009226,1
2020-11-09,-1,0.0048931083,-1
2020-11-10,1,0.9598422,1
2020-11-11,-1,0.36029148,-1
2020-11-12,1,0.95154375,1
2020-11-13,1,0.9580237,1
2020-11-16,1,0.91103023,1
2020-11-17,-1,0.6838784,1
2020-11-18,-1,0.7331147,1
2020-11-19,-1,0.7577747,1
2020-11-20,1,0.91034806,1
2020-11-23,-1,0.05669483,-1
2020-11-24,-1,0.1263379,-1
2020-11-25,-1,0.41677463,-1
2020-11-26,1,0.50281733,-1
2020-11-27,-1,0.064649925,-1
2020-11-30,-1,0.20356935,-1
2020-12-01,1,0.9878955,1
2020-12-02,1,0.9433387,1
2020-12-03,1,0.9376098,1
2020-12-04,-1,0.82108426,1
2020-12-07,1,0.9744296,1
2020-12-08,1,0.87559646,1
2020-12-09,-1,0.034147117,-1
2020-12-10,-1,0.22219133,-1
2020-12-11,1,0.30782962,-1
2020-12-14,-1,0.05265123,-1
2020-12-15,1,0.9268282,1
2020-12-16,1,0.64646035,1
2020-12-17,1,0.9142279,1
2020-12-18,-1,0.23155653,-1
2020-12-21,-1,0.4670678,-1
2020-12-22,-1,0.06480254,-1
2020-12-23,1,0.9085092,1
2020-12-24,1,0.842696,1
2020-12-28,-1,0.25063926,-1
2020-12-29,1,0.823566,1
2020-12-30,1,0.9325392,1
2020-12-31,1,0.6565689,1
2021-01-04,1,0.9905186,1
2021-01-05,1,0.8376863,1
2021-01-06,-1,0.029540101,-1
2021-01-07,-1,0.36629412,-1
2021-01-08,-1,0.0063106827,-1
2021-01-11,-1,0.48626274,-1
2021-01-12,1,0.687522,1
2021-01-13,-1,0.087011755,-1
2021-01-14,1,0.602676,1
2021-01-15,-1,0.07589775,-1
2021-01-18,1,0.9129777,1
2021-01-19,1,0.75907665,1
2021-01-20,1,0.99202406,1
2021-01-21,-1,0.93623674,1
2021-01-22,-1,0.5716408,-1
2021-01-25,1,0.9337482,1
2021-01-26,-1,0.69465154,1
2021-01-27,-1,0.56557876,-1
2021-01-28,-1,0.43119663,-1
2021-01-29,1,0.79880476,1
2021-02-01,1,0.94167674,1
2021-02-02,-1,0.043042485,-1
2021-02-03,-1,0.2394633,-1
2021-02-04,-1,0.017813439,-1
2021-02-05,1,0.9498369,1
2021-02-08,1,0.9454908,1
2021-02-09,1,0.8651402,1
2021-02-10,1,0.8514424,1
2021-02-11,-1,0.115116484,-1
2021-02-12,-1,0.4712698,-1
2021-02-15,-1,0.20688057,-1
2021-02-16,-1,0.060009275,-1
2021-02-17,-1,0.10744253,-1
2021-02-18,-1,0.41132858,-1
2021-02-19,1,0.70609444,1
2021-02-22,1,0.9849444,1
2021-02-23,-1,0.70477176,1
2021-02-24,-1,0.80828977,1
2021-02-25,-1,0.043187365,-1
2021-02-26,-1,0.06630698,-1
2021-03-01,-1,0.37020537,-1
2021-03-02,1,0.87312496,1
2021-03-03,-1,0.06509565,-1
2021-03-04,-1,0.3765161,-1
2021-03-05,1,0.62718445,1
2021-03-08,-1,0.11618102,-1
2021-03-09,1,0.98846495,1
2021-03-10,1,0.9358804,1
2021-03-11,-1,0.8033268,1
2021-03-12,1,0.9338957,1
2021-03-15,1,0.93496126,1
2021-03-16,-1,0.8974845,1
2021-03-17,1,0.96506095,1
2021-03-18,-1,0.4424159,-1
2021-03-19,1,0.83836484,1
2021-03-22,-1,0.115240216,-1
2021-03-23,-1,0.044369735,-1
2021-03-24,1,0.32215452,-1
2021-03-25,-1,0.05356923,-1
2021-03-26,1,0.32505286,-1
2021-03-29,-1,0.026168628,-1
2021-03-30,-1,0.031743582,-1
2021-03-31,1,0.96474516,1
2021-04-01,1,0.9476593,1
2021-04-05,-1,0.42400885,-1
2021-04-06,1,0.90102744,1
2021-04-07,-1,0.16639167,-1
2021-04-08,1,0.88890237,1
2021-04-09,-1,0.043528456,-1
2021-04-12,-1,0.054068476,-1
2021-04-13,1,0.579507,-1
2021-04-14,-1,0.044336792,-1
2021-04-15,1,0.9124238,1
2021-04-16,1,0.5860418,1
2021-04-19,-1,0.15072387,-1
2021-04-20,1,0.72061336,1
2021-04-21,1,0.8901006,1
2021-04-22,-1,0.078911036,-1
2021-04-23,-1,0.0853743,-1
2021-04-26,1,0.51203895,-1
2021-04-27,-1,0.079252385,-1
2021-04-28,1,0.41677877,-1
2021-04-29,-1,0.038732708,-1
2021-04-30,-1,0.060096003,-1
2021-05-03,1,0.93378127,1
2021-05-04,-1,0.032351214,-1
2021-05-05,1,0.5059474,-1
2021-05-06,1,0.95202863,1
2021-05-07,1,0.8974479,1
2021-05-10,1,0.8853554,1
2021-05-11,1,0.8941849,1
2021-05-12,-1,0.03300329,-1
2021-05-13,1,0.7950531,1
2021-05-14,1,0.8210712,1
2021-05-17,1,0.9168242,1
2021-05-18,1,0.5507527,-1
2021-05-19,1,0.82947725,1
2021-05-20,1,0.9378388,1
2021-05-21,1,0.93273,1
2021-05-24,1,0.9159454,1
2021-05-25,1,0.9736588,1
2021-05-26,-1,0.7216248,1
2021-05-27,1,0.9262464,1
2021-05-28,1,0.96638453,1
2021-05-31,1,0.93746865,1
2021-06-01,-1,0.23652257,-1
2021-06-02,1,0.89414525,1
2021-06-03,-1,0.004031622,-1
2021-06-04,1,0.8471065,1
2021-06-07,1,0.4569488,-1
2021-06-08,-1,0.08514395,-1
2021-06-09,-1,0.10920711,-1
2021-06-10,1,0.7816981,1
2021-06-11,-1,0.019998366,-1
2021-06-14,-1,0.07468269,-1
2021-06-15,-1,0.09428686,-1
2021-06-16,-1,0.010825611,-1
2021-06-17,-1,0.044176776,-1
2021-06-18,-1,0.22385105,-1
2021-06-21,1,0.8806999,1
2021-06-22,-1,0.181231,-1
2021-06-23,-1,0.4141709,-1
2021-06-24,-1,0.31005836,-1
2021-06-25,1,0.81427103,1
2021-06-28,-1,0.5206371,-1
2021-06-29,-1,0.119849116,-1
2021-06-30,1,0.9195473,1
2021-07-01,1,0.92596227,1
2021-07-02,1,0.9694555,1
2021-07-05,1,0.9538732,1
2021-07-06,1,0.96454394,1
2021-07-07,1,0.94881636,1
2021-07-08,-1,0.7974801,1
2021-07-09,1,0.883118,1
2021-07-12,-1,0.6373375,1
2021-07-13,1,0.7561891,1
2021-07-14,1,0.9685034,1
2021-07-15,1,0.89857864,1
2021-07-16,-1,0.034852576,-1
2021-07-19,1,0.33131152,-1
2021-07-20,-1,0.11833636,-1
2021-07-21,-1,0.055731315,-1
2021-07-22,1,0.46412775,-1
2021-07-23,-1,0.17408778,-1
2021-07-26,-1,0.25440726,-1
2021-07-27,1,0.7005052,1
2021-07-28,1,0.9675029,1
2021-07-29,1,0.99237216,1
2021-07-30,-1,0.17948416,-1
2021-08-02,-1,0.5747646,-1
2021-08-03,-1,0.45304736,-1
2021-08-04,1,0.66264874,1
2021-08-05,-1,0.13467768,-1
2021-08-06,-1,0.011547678,-1
2021-08-09,-1,0.024684455,-1
2021-08-10,-1,0.06654725,-1
2021-08-11,1,0.64733964,1
2021-08-12,1,0.10229652,-1
2021-08-13,1,0.94423324,1
2021-08-16,1,0.77155596,1
2021-08-17,-1,0.5407173,-1
2021-08-18,1,0.7401949,1
2021-08-19,-1,0.16331089,-1
2021-08-20,1,0.35377523,-1
2021-08-23,1,0.9631052,1
2021-08-24,-1,0.47069597,-1
2021-08-25,-1,0.052891526,-1
2021-08-26,1,0.1356446,-1
2021-08-27,1,0.91567045,1
2021-08-30,-1,0.057594262,-1
2021-08-31,1,0.50211805,-1
2021-09-01,-1,0.29299033,-1
2021-09-02,-1,0.11654082,-1
2021-09-03,1,0.92796296,1
2021-09-06,-1,0.20557775,-1
2021-09-07,-1,0.014407665,-1
2021-09-08,-1,0.12739098,-1
2021-09-09,1,0.61267084,1
2021-09-10,-1,0.23216346,-1
2021-09-13,1,0.8877861,1
2021-09-14,1,0.9679014,1
2021-09-15,-1,0.2622742,-1
2021-09-16,-1,0.02218639,-1
2021-09-17,1,0.53599006,-1
2021-09-20,1,0.87619615,1
2021-09-21,1,0.8950643,1
2021-09-22,-1,0.37330905,-1
2021-09-23,-1,0.052673534,-1
2021-09-24,1,0.90027565,1
2021-09-27,1,0.70808846,1
2021-09-28,-1,0.13881394,-1
2021-09-29,-1,0.294357,-1
2021-09-30,1,0.99044317,1
2021-10-01,1,0.9001823,1
2021-10-04,1,0.9475157,1
2021-10-05,-1,0.42731103,-1
2021-10-06,1,0.8020546,1
2021-10-07,-1,0.1256548,-1
2021-10-08,1,0.45734724,-1
2021-10-11,-1,0.21374793,-1
2021-10-12,1,0.7757459,1
2021-10-13,1,0.9829212,1
2021-10-14,1,0.7897774,1
2021-10-15,-1,0.023954557,-1
2021-10-18,-1,0.14108156,-1
2021-10-19,1,0.3667539,-1
2021-10-20,1,0.88538784,1
2021-10-21,1,0.61581993,1
2021-10-22,1,0.93607646,1
2021-10-25,1,0.95208764,1
2021-10-26,-1,0.08102815,-1
2021-10-27,1,0.6439927,1
2021-10-28,1,0.617379,1
2021-10-29,-1,0.031147119,-1
2021-11-01,1,0.7557958,1
2021-11-02,-1,0.11147922,-1
2021-11-03,-1,0.041347582,-1
2021-11-04,1,0.9492174,1
2021-11-05,1,0.965723,1
2021-11-08,1,0.62671137,1
2021-11-09,1,0.68399626,1
2021-11-10,1,0.9338996,1
2021-11-11,1,0.9227863,1
2021-11-12,1,0.91343015,1
2021-11-15,-1,0.8451323,1
2021-11-16,-1,0.07098713,-1
2021-11-17,1,0.91175795,1
2021-11-18,-1,0.054092903,-1
2021-11-19,-1,0.02655736,-1
2021-11-22,-1,0.0053491434,-1
2021-11-23,-1,0.025627596,-1
2021-11-24,-1,0.060400542,-1
2021-11-25,-1,0.07364243,-1
2021-11-26,-1,0.12352499,-1
2021-11-29,-1,0.10048444,-1
2021-11-30,-1,0.05083397,-1
2021-12-01,1,0.84335023,1
2021-12-02,-1,0.08048327,-1
2021-12-03,1,0.968452,1
2021-12-06,-1,0.5853569,-1
2021-12-07,1,0.9457248,1
2021-12-08,-1,0.85633063,1
2021-12-09,-1,0.464885,-1
2021-12-10,1,0.94384134,1
2021-12-13,1,0.92202336,1
2021-12-14,-1,0.0803964,-1
2021-12-15,1,0.87731326,1
2021-12-16,1,0.97572607,1
2021-12-17,-1,0.6295657,1
2021-12-20,-1,0.14586633,-1
2021-12-21,-1,0.33331123,-1
2021-12-22,1,0.92287034,1
2021-12-23,1,0.75834703,1
2021-12-27,1,0.6907331,1
2021-12-28,-1,0.10743677,-1
2021-12-29,-1,0.149799,-1
2021-12-30,1,0.83834594,1
2021-12-31,1,0.90853053,1
2022-01-03,-1,0.013365098,-1
2022-01-04,1,0.6263733,1
2022-01-05,-1,0.0679111,-1
2022-01-06,-1,0.031899814,-1
2022-01-07,1,0.80691254,1
2022-01-10,1,0.8973788,1
2022-01-11,1,0.9705509,1
2022-01-12,1,0.7843138,1
2022-01-13,-1,0.27236342,-1
2022-01-14,-1,0.10952281,-1
2022-01-17,1,0.28876248,-1
2022-01-18,-1,0.06383014,-1
2022-01-19,1,0.9592567,1
2022-01-20,-1,0.39319074,-1
2022-01-21,-1,0.19467305,-1
2022-01-24,1,0.80722463,1
2022-01-25,1,0.68642265,1
2022-01-26,-1,0.010506001,-1
2022-01-27,-1,0.02379304,-1
2022-01-28,-1,0.08888528,-1
2022-01-31,1,0.5399925,-1
2022-02-01,1,0.59082425,1
2022-02-02,1,0.84471095,1
2022-02-03,-1,0.4783776,-1
2022-02-04,1,0.82238466,1
2022-02-07,1,0.9689353,1
2022-02-08,1,0.9499241,1
2022-02-09,1,0.9581257,1
2022-02-10,-1,0.5846871,-1
2022-02-11,1,0.9883278,1
2022-02-14,1,0.93391484,1
2022-02-15,-1,0.063587464,-1
2022-02-16,1,0.9062392,1
2022-02-17,1,0.9587806,1
2022-02-18,1,0.59252053,1
2022-02-21,1,0.89280456,1
2022-02-22,-1,0.4221967,-1
2022-02-23,1,0.888764,1
2022-02-24,-1,0.5762297,-1
2022-02-25,-1,0.061529398,-1
2022-02-28,1,0.9752559,1
