,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2019-08-21,-1,0.9039592,1,129.22,
1,2019-08-22,1,0.9989532,1,130.392,129.22
2,2019-08-23,-1,0.0034296887,-1,129.521,130.392
3,2019-08-26,1,0.7047634,1,129.594,129.521
4,2019-08-27,1,0.89792764,1,129.923,129.594
5,2019-08-28,-1,0.013177144,-1,129.491,129.923
6,2019-08-29,1,0.818152,1,129.751,129.491
7,2019-08-30,-1,0.005688884,-1,129.244,129.751
8,2019-09-02,-1,0.0005996624,-1,128.091,129.244
9,2019-09-03,-1,0.054348458,-1,127.991,128.091
10,2019-09-04,1,0.9999567,1,130.363,127.991
11,2019-09-05,1,0.993707,1,131.888,130.363
12,2019-09-06,-1,0.017445361,-1,131.353,131.888
13,2019-09-09,1,0.9896651,1,132.34,131.353
14,2019-09-10,1,0.8460027,1,132.853,132.34
15,2019-09-11,1,0.58597344,1,132.947,132.853
16,2019-09-12,1,0.9266081,1,133.272,132.947
17,2019-09-13,1,0.99883574,1,135.173,133.272
18,2019-09-16,-1,0.0052787997,-1,134.372,135.173
19,2019-09-17,1,0.975711,1,135.104,134.372
20,2019-09-18,1,0.4304004,-1,135.196,135.104
21,2019-09-19,1,0.7661516,1,135.314,135.196
22,2019-09-20,-1,0.0005936439,-1,134.099,135.314
23,2019-09-23,-1,0.008539101,-1,133.68,134.099
24,2019-09-24,1,0.065968886,-1,133.799,133.68
25,2019-09-25,-1,0.002005823,-1,133.095,133.799
26,2019-09-26,-1,0.020800352,-1,132.879,133.095
27,2019-09-27,-1,0.017733417,-1,132.631,132.879
28,2019-09-30,1,0.76488245,1,132.873,132.631
29,2019-10-01,-1,0.037992634,-1,132.564,132.873
30,2019-10-02,-1,0.0038427263,-1,131.787,132.564
31,2019-10-03,1,0.11538249,-1,131.795,131.787
32,2019-10-04,1,0.07585858,-1,131.842,131.795
33,2019-10-07,-1,0.041150536,-1,131.81,131.842
34,2019-10-08,-1,0.000414748,-1,130.825,131.81
35,2019-10-09,1,0.94563967,1,131.172,130.825
36,2019-10-10,1,0.9999976,1,134.249,131.172
37,2019-10-11,1,0.9997762,1,137.094,134.249
38,2019-10-14,-1,0.02468154,-1,136.436,137.094
39,2019-10-15,1,0.9999033,1,139.161,136.436
40,2019-10-16,1,0.36314723,-1,139.482,139.161
41,2019-10-17,1,0.96363497,1,140.035,139.482
42,2019-10-18,1,0.9404521,1,140.343,140.035
43,2019-10-21,1,0.96933055,1,140.749,140.343
44,2019-10-22,-1,0.0076797907,-1,139.653,140.749
45,2019-10-23,1,0.97156626,1,140.388,139.653
46,2019-10-24,-1,0.0045680366,-1,139.577,140.388
47,2019-10-25,-1,0.0807411,-1,139.421,139.577
48,2019-10-28,1,0.8891733,1,140.12,139.421
49,2019-10-29,-1,0.07929111,-1,140.073,140.12
50,2019-10-30,1,0.78046757,1,140.416,140.073
51,2019-10-31,-1,0.0027722926,-1,139.625,140.416
52,2019-11-01,1,0.61530113,1,139.899,139.625
53,2019-11-04,-1,0.13253482,-1,139.859,139.899
54,2019-11-05,1,0.9841255,1,140.609,139.859
55,2019-11-06,-1,0.036588885,-1,140.103,140.609
56,2019-11-07,-1,0.36438432,-1,139.999,140.103
57,2019-11-08,-1,0.035582725,-1,139.582,139.999
58,2019-11-11,1,0.9726166,1,140.124,139.582
