,time,action,position,entry_price,close_price,profit,balance
0,2019-08-21,open,long,129.22,,,9999.9998
1,2019-08-23,close,neutral,,129.521,30.099999999998772,10030.099599999998
2,2019-08-23,open,short,129.521,,,10030.099399999997
3,2019-08-27,close,neutral,,129.923,-40.20000000000152,9989.899199999996
4,2019-08-27,open,long,129.923,,,9989.898999999996
5,2019-08-28,close,neutral,,129.491,-43.199999999998795,9946.698799999996
6,2019-08-28,open,short,129.491,,,9946.698599999996
7,2019-08-29,close,neutral,,129.751,-25.99999999999909,9920.698399999997
8,2019-08-29,open,long,129.751,,,9920.698199999997
9,2019-08-30,close,neutral,,129.244,-50.7000000000005,9869.997999999996
10,2019-08-30,open,short,129.244,,,9869.997799999996
11,2019-09-04,close,neutral,,130.363,-111.89999999999998,9758.097599999996
12,2019-09-04,open,long,130.363,,,9758.097399999995
13,2019-09-06,close,neutral,,131.353,99.00000000000091,9857.097199999997
14,2019-09-06,open,short,131.353,,,9857.096999999996
15,2019-09-09,close,neutral,,132.34,-98.69999999999948,9758.396799999997
16,2019-09-09,open,long,132.34,,,9758.396599999996
17,2019-09-16,close,neutral,,134.372,203.20000000000107,9961.596399999997
18,2019-09-16,open,short,134.372,,,9961.596199999996
19,2019-09-17,close,neutral,,135.104,-73.19999999999993,9888.395999999997
20,2019-09-17,open,long,135.104,,,9888.395799999997
21,2019-09-18,close,neutral,,135.196,9.199999999998454,9897.595599999995
22,2019-09-18,open,short,135.196,,,9897.595399999995
23,2019-09-19,close,neutral,,135.314,-11.7999999999995,9885.795199999995
24,2019-09-19,open,long,135.314,,,9885.794999999995
25,2019-09-20,close,neutral,,134.099,-121.50000000000034,9764.294799999994
26,2019-09-20,open,short,134.099,,,9764.294599999994
27,2019-09-30,close,neutral,,132.873,122.59999999999991,9886.894399999994
28,2019-09-30,open,long,132.873,,,9886.894199999993
29,2019-10-01,close,neutral,,132.564,-30.89999999999975,9855.993999999993
30,2019-10-01,open,short,132.564,,,9855.993799999993
31,2019-10-09,close,neutral,,131.172,139.1999999999996,9995.193599999993
32,2019-10-09,open,long,131.172,,,9995.193399999993
33,2019-10-14,close,neutral,,136.436,526.400000000001,10521.593199999994
34,2019-10-14,open,short,136.436,,,10521.592999999993
35,2019-10-15,close,neutral,,139.161,-272.49999999999943,10249.092799999995
36,2019-10-15,open,long,139.161,,,10249.092599999994
37,2019-10-16,close,neutral,,139.482,32.099999999999795,10281.192399999994
38,2019-10-16,open,short,139.482,,,10281.192199999994
39,2019-10-17,close,neutral,,140.035,-55.29999999999973,10225.891999999994
40,2019-10-17,open,long,140.035,,,10225.891799999994
41,2019-10-22,close,neutral,,139.653,-38.2000000000005,10187.691599999993
42,2019-10-22,open,short,139.653,,,10187.691399999992
43,2019-10-23,close,neutral,,140.388,-73.50000000000136,10114.19119999999
44,2019-10-23,open,long,140.388,,,10114.19099999999
45,2019-10-24,close,neutral,,139.577,-81.1000000000007,10033.090799999989
46,2019-10-24,open,short,139.577,,,10033.090599999989
47,2019-10-28,close,neutral,,140.12,-54.30000000000064,9978.790399999987
48,2019-10-28,open,long,140.12,,,9978.790199999987
49,2019-10-29,close,neutral,,140.073,-4.699999999999704,9974.089999999987
