time,Actual Movement,Predictions,Predicted
2019-08-21,-1,0.07973599,-1
2019-08-22,-1,0.016534178,-1
2019-08-23,1,0.9795745,1
2019-08-26,-1,0.20837526,-1
2019-08-27,-1,0.059769608,-1
2019-08-28,-1,0.041420657,-1
2019-08-29,-1,0.039881166,-1
2019-08-30,-1,0.08805793,-1
2019-09-02,-1,0.04803977,-1
2019-09-03,1,0.9756665,1
2019-09-04,1,0.98508865,1
2019-09-05,1,0.97587377,1
2019-09-06,1,0.99795413,1
2019-09-09,1,0.9530438,1
2019-09-10,-1,0.92004097,1
2019-09-11,-1,0.7259545,-1
2019-09-12,-1,0.52773404,-1
2019-09-13,-1,0.009688289,-1
2019-09-16,-1,0.0071142814,-1
2019-09-17,1,0.4410613,-1
2019-09-18,-1,0.0052420506,-1
2019-09-19,-1,0.027837789,-1
2019-09-20,-1,0.009277445,-1
2019-09-23,1,0.9864655,1
2019-09-24,1,0.98907554,1
2019-09-25,-1,0.029132131,-1
2019-09-26,1,0.9919046,1
2019-09-27,1,0.9552903,1
2019-09-30,-1,0.3230687,-1
2019-10-01,-1,0.39646545,-1
2019-10-02,1,0.9889397,1
2019-10-03,1,0.9870697,1
2019-10-04,1,0.97265244,1
2019-10-07,-1,0.10762176,-1
2019-10-08,1,0.8789445,1
2019-10-09,-1,0.3226517,-1
2019-10-10,1,0.98149914,1
2019-10-11,1,0.96005726,1
2019-10-14,-1,0.014335332,-1
2019-10-15,-1,0.29472545,-1
2019-10-16,-1,0.16528387,-1
2019-10-17,1,0.995561,1
2019-10-18,1,0.9866623,1
2019-10-21,1,0.9752949,1
2019-10-22,1,0.9699056,1
2019-10-23,1,0.9922995,1
2019-10-24,-1,0.020524567,-1
2019-10-25,-1,0.02770387,-1
2019-10-28,-1,0.38720027,-1
2019-10-29,1,0.7015458,-1
2019-10-30,1,0.9881136,1
2019-10-31,1,0.9656858,1
2019-11-01,1,0.9712876,1
2019-11-04,-1,0.06473445,-1
2019-11-05,-1,0.028871508,-1
2019-11-06,-1,0.59102523,-1
2019-11-07,1,0.82989866,1
2019-11-08,-1,0.037231807,-1
2019-11-11,1,0.9965938,1
2019-11-12,-1,0.2967404,-1
2019-11-13,1,0.9997298,1
2019-11-14,-1,0.4055099,-1
2019-11-15,1,0.99086034,1
2019-11-18,-1,0.91887426,1
2019-11-19,1,0.99363685,1
2019-11-20,-1,0.6138838,-1
2019-11-21,-1,0.39134803,-1
2019-11-22,1,0.84479177,1
2019-11-25,1,0.9472797,1
2019-11-26,1,0.8877142,1
2019-11-27,-1,0.21937011,-1
2019-11-28,-1,0.2746462,-1
2019-11-29,1,0.6691341,-1
2019-12-02,1,0.9991461,1
2019-12-03,1,0.98173827,1
2019-12-04,1,0.99098504,1
2019-12-05,1,0.995488,1
2019-12-06,1,0.995928,1
2019-12-09,-1,0.8242907,1
2019-12-10,-1,0.95963806,1
2019-12-11,1,0.9963715,1
2019-12-12,1,0.9844056,1
2019-12-13,-1,0.92252153,1
2019-12-16,1,0.9860206,1
2019-12-17,-1,0.15473598,-1
2019-12-18,1,0.9720234,1
2019-12-19,1,0.9779002,1
2019-12-20,-1,0.93608826,1
2019-12-23,1,0.99454296,1
2019-12-24,1,0.9756554,1
2019-12-26,1,0.99686474,1
2019-12-27,1,0.9964218,1
2019-12-30,1,0.99600995,1
2019-12-31,1,0.99422705,1
2020-01-02,-1,0.41572905,-1
2020-01-03,-1,0.05718166,-1
2020-01-06,1,0.91913974,1
2020-01-07,-1,0.042949595,-1
2020-01-08,1,0.897354,1
2020-01-09,-1,0.03275744,-1
2020-01-10,1,0.9812184,1
2020-01-13,-1,0.88901424,1
2020-01-14,-1,0.7719697,-1
2020-01-15,1,0.9701367,1
2020-01-16,1,0.9920053,1
2020-01-17,-1,0.606343,-1
2020-01-20,0,0.95607656,1
2020-01-21,-1,0.68797135,-1
2020-01-22,-1,0.90236694,1
2020-01-23,1,0.9960556,1
2020-01-24,-1,0.9091613,1
2020-01-27,-1,0.012689952,-1
2020-01-28,1,0.8153193,1
2020-01-29,-1,0.08329866,-1
2020-01-30,-1,0.020396631,-1
2020-01-31,-1,0.033257764,-1
2020-02-03,-1,0.1265511,-1
2020-02-04,1,0.98375976,1
2020-02-05,-1,0.224494,-1
2020-02-06,-1,0.4303403,-1
2020-02-07,-1,0.017923992,-1
2020-02-10,-1,0.24490422,-1
2020-02-11,1,0.95930743,1
2020-02-12,1,0.9988053,1
2020-02-13,-1,0.5555876,-1
2020-02-14,-1,0.95613515,1
2020-02-17,1,0.9610643,1
2020-02-18,-1,0.037066802,-1
2020-02-19,-1,0.9159334,1
2020-02-20,-1,0.024001446,-1
2020-02-21,1,0.9761765,1
2020-02-24,-1,0.2493006,-1
2020-02-25,-1,0.15151307,-1
2020-02-26,-1,0.045990806,-1
2020-02-27,1,0.97052526,1
2020-02-28,-1,0.0075513385,-1
2020-03-02,1,0.9381584,1
2020-03-03,1,0.8545515,1
2020-03-04,1,0.97604877,1
2020-03-05,1,0.9682843,1
2020-03-06,1,0.99786395,1
2020-03-09,-1,0.18558572,-1
2020-03-10,-1,0.0031764822,-1
2020-03-11,1,0.4501082,-1
2020-03-12,-1,1.7823742e-05,-1
2020-03-13,-1,0.17257185,-1
2020-03-16,-1,0.023816321,-1
2020-03-17,-1,0.00082346256,-1
2020-03-18,-1,0.00012264184,-1
2020-03-19,-1,0.019393133,-1
2020-03-20,1,0.9373406,1
2020-03-23,-1,0.014051362,-1
2020-03-24,1,0.9997627,1
2020-03-25,1,0.5593607,-1
2020-03-26,1,0.9998222,1
2020-03-27,1,0.9979748,1
2020-03-30,-1,0.39398378,-1
2020-03-31,-1,0.19334833,-1
2020-04-01,-1,0.09731351,-1
2020-04-02,1,0.7424176,-1
2020-04-03,-1,0.0041791787,-1
2020-04-06,1,0.99522036,1
2020-04-07,1,0.9402392,1
2020-04-08,1,0.9433391,1
2020-04-09,1,0.9948427,1
2020-04-10,-1,0.17094284,-1
2020-04-13,1,0.9811505,1
2020-04-14,1,0.95631206,1
2020-04-15,-1,0.00053253653,-1
2020-04-16,-1,0.12125706,-1
2020-04-17,1,0.99760973,1
2020-04-20,1,0.56078076,-1
2020-04-21,-1,0.006344481,-1
2020-04-22,-1,0.6298074,-1
2020-04-23,1,0.99550086,1
2020-04-24,1,0.92576057,1
2020-04-27,1,0.9911107,1
2020-04-28,1,0.97623706,1
2020-04-29,1,0.99889237,1
2020-04-30,-1,0.7838781,-1
2020-05-01,-1,0.008876765,-1
2020-05-04,-1,0.81912696,1
2020-05-05,1,0.86166626,1
2020-05-06,-1,0.021580087,-1
2020-05-07,1,0.99913895,1
2020-05-08,1,0.9908037,1
2020-05-11,-1,0.008924836,-1
2020-05-12,1,0.90523535,1
2020-05-13,-1,0.0039236043,-1
2020-05-14,1,0.96582395,1
2020-05-15,-1,0.027287753,-1
2020-05-18,1,0.99990606,1
2020-05-19,1,0.98557323,1
2020-05-20,1,0.9974382,1
2020-05-21,-1,0.074350305,-1
2020-05-22,-1,0.08280509,-1
2020-05-25,1,0.90334207,1
2020-05-26,1,0.998966,1
2020-05-27,-1,0.13190506,-1
2020-05-28,1,0.9797279,1
2020-05-29,-1,0.73907137,-1
2020-06-01,1,0.9990183,1
2020-06-02,1,0.9949058,1
2020-06-03,1,0.99366766,1
2020-06-04,1,0.99195546,1
2020-06-05,1,0.9958075,1
2020-06-08,1,0.99748933,1
2020-06-09,-1,0.055577103,-1
2020-06-10,1,0.9899407,1
2020-06-11,-1,0.0006551579,-1
2020-06-12,1,0.9433442,1
2020-06-15,1,0.7382008,-1
2020-06-16,-1,0.044402227,-1
2020-06-17,1,0.68948793,-1
2020-06-18,-1,0.023494251,-1
2020-06-19,-1,0.06177194,-1
2020-06-22,1,0.9985084,1
2020-06-23,1,0.9436115,1
2020-06-24,-1,0.0138273975,-1
2020-06-25,1,0.99440694,1
2020-06-26,-1,0.9482433,1
2020-06-29,-1,0.9755702,1
2020-06-30,1,0.99751544,1
2020-07-01,1,0.9932602,1
2020-07-02,1,0.99425864,1
2020-07-03,1,0.9879865,1
2020-07-06,1,0.9854461,1
2020-07-07,-1,0.8712699,1
2020-07-08,1,0.99373275,1
2020-07-09,-1,0.8659271,1
2020-07-10,1,0.96930873,1
2020-07-13,-1,0.039971754,-1
2020-07-14,-1,0.3197676,-1
2020-07-15,1,0.98965806,1
2020-07-16,-1,0.018781584,-1
2020-07-17,1,0.95361036,1
2020-07-20,1,0.95333344,1
2020-07-21,1,0.9965978,1
2020-07-22,1,0.98563904,1
2020-07-23,-1,0.35701376,-1
2020-07-24,1,0.9821134,1
2020-07-27,1,0.9958294,1
2020-07-28,-1,0.18417847,-1
2020-07-29,1,0.96125454,1
2020-07-30,1,0.9874878,1
2020-07-31,-1,0.0023697207,-1
2020-08-03,-1,0.31265163,-1
2020-08-04,1,0.90101177,1
2020-08-05,1,0.97477174,1
2020-08-06,1,0.99016774,1
2020-08-07,-1,0.004118827,-1
2020-08-10,-1,0.9394148,1
2020-08-11,-1,0.8642494,1
2020-08-12,1,0.9699014,1
2020-08-13,-1,0.32459158,-1
2020-08-14,-1,0.78514296,-1
2020-08-17,1,0.980478,1
2020-08-18,1,0.99781704,1
2020-08-19,-1,0.25509992,-1
2020-08-20,-1,0.7455077,-1
2020-08-21,1,0.9622607,1
2020-08-24,-1,0.5455387,-1
2020-08-25,1,0.9908832,1
2020-08-26,1,0.99952626,1
2020-08-27,1,0.989144,1
2020-08-28,1,0.9996265,1
2020-08-31,-1,0.9247875,1
2020-09-01,1,0.9942882,1
2020-09-02,1,0.9898581,1
2020-09-03,-1,0.02167866,-1
2020-09-04,1,0.94709146,1
2020-09-07,-1,0.064362764,-1
2020-09-08,-1,0.0034727345,-1
2020-09-09,1,0.9956208,1
2020-09-10,-1,0.028893001,-1
2020-09-11,1,0.9566882,1
2020-09-14,1,0.9824609,1
2020-09-15,1,0.961215,1
2020-09-16,1,0.9821193,1
2020-09-17,1,0.98806447,1
2020-09-18,1,0.9657808,1
2020-09-21,-1,0.003119983,-1
2020-09-22,-1,0.20703775,-1
2020-09-23,-1,0.010053697,-1
2020-09-24,-1,0.8625561,1
2020-09-25,1,0.5321046,-1
2020-09-28,1,0.800224,1
2020-09-29,1,0.9931901,1
2020-09-30,1,0.9934116,1
2020-10-01,1,0.9964557,1
2020-10-02,-1,0.9507488,1
2020-10-05,1,0.99032587,1
2020-10-06,-1,0.03928273,-1
2020-10-07,-1,0.9140609,1
2020-10-08,1,0.93665165,1
2020-10-09,1,0.99965596,1
2020-10-12,-1,0.1978322,-1
2020-10-13,1,0.8187944,1
2020-10-14,1,0.8851016,1
2020-10-15,-1,0.005404798,-1
2020-10-16,1,0.91173774,1
2020-10-19,1,0.88949656,1
2020-10-20,-1,0.1180262,-1
2020-10-21,1,0.9991786,1
2020-10-22,1,0.97172695,1
