,time,Actual Movement,Predictions,Predicted,close,previous close price
0,2023-11-21,-1,0.47088358,1,4.996,
1,2023-11-22,1,0.64007837,1,5.197,4.996
2,2023-11-23,-1,0.5707755,1,5.107,5.197
3,2023-11-24,1,0.67674375,1,5.247,5.107
4,2023-11-25,1,0.6963379,1,5.321,5.247
5,2023-11-26,-1,0.67896575,1,5.303,5.321
6,2023-11-27,-1,0.54558533,1,5.086,5.303
7,2023-11-28,1,0.6860913,1,5.252,5.086
8,2023-11-29,-1,0.5936329,1,5.15,5.252
9,2023-11-30,1,0.76232654,1,5.485,5.15
10,2023-12-01,-1,0.69551873,1,5.444,5.485
11,2023-12-02,1,0.7529455,1,5.582,5.444
12,2023-12-03,-1,0.67158395,1,5.514,5.582
13,2023-12-04,1,0.6800058,1,5.564,5.514
14,2023-12-05,1,0.7574913,1,5.795,5.564
15,2023-12-06,1,0.6867668,1,6.073,5.795
16,2023-12-07,1,0.70587933,1,6.263,6.073
17,2023-12-08,1,0.7751237,1,6.732,6.263
18,2023-12-09,1,0.75769734,1,7.208,6.732
19,2023-12-10,1,0.736684,1,7.237999999999999,7.208
20,2023-12-11,-1,0.37136224,-1,6.712,7.237999999999999
21,2023-12-12,1,0.5680552,1,6.943,6.712
22,2023-12-13,1,0.65065104,1,7.394,6.943
23,2023-12-14,1,0.5858566,1,7.455,7.394
24,2023-12-15,-1,0.36214638,-1,7.054,7.455
25,2023-12-16,-1,0.43140447,1,7.047,7.054
26,2023-12-17,-1,0.33128044,-1,6.854,7.047
27,2023-12-18,-1,0.35202572,-1,6.831,6.854
28,2023-12-19,-1,0.3202773,-1,6.735,6.831
29,2023-12-20,1,0.42448267,1,6.869,6.735
30,2023-12-21,1,0.7955638,1,8.298,6.869
31,2023-12-22,-1,0.41018206,1,7.967,8.298
32,2023-12-23,1,0.5988223,1,8.194,7.967
33,2023-12-24,1,0.59586406,1,8.748,8.194
34,2023-12-25,1,0.5860074,1,9.171,8.748
35,2023-12-26,-1,0.3577765,-1,8.736,9.171
36,2023-12-27,1,0.47744352,1,8.801,8.736
37,2023-12-28,-1,0.2834209,-1,8.349,8.801
